country,total_national_populations,total_available_military_manpower,total_manpower_fir_for_military_service,total_population_reaching_military_age_annually,active_service_military_manpower,active_service_reserve_components,active_paramilitary_force_strength,total_military_aircraft_strength,total_fighter/interceptor_aircraft_strength,total_attack_aircraft_strength,total_military_transport_aircraft_strength,total_military_trainer_aircraft_strength,special_mission_aircraft_fleets,aerial_tanker_aircraft_fleet_strength,total_helicopter_strength,total_attack_helicopter_strength,total_combat_tank_strength,total_armored_fighting_vehicle_strength,total_self_propelled_artillery_strength,total_towed_artillery_strength,total_rocket_launcher_vehicle_strength,navy_strength,aircraft_carrier_strength,helicopter_carrier_strength,navy_submarine_strength,destroyer_warship_strength,navy_frigate_warship_strength,navy_corvette_warship_strength,navy_patrol_craft_strength,navy_mine_warfare_craft_strength,national_annual_defense_budgets,national_external_debts,purchasing_power_parities,national_reserves_of_foreign_exchange_and_gold,total_number_of_serviceable_airports,total_labor_force_strength,major_ports_and_terminals_totals,total_merchant_marine_strength,country_railway_coverage_totals,country_roadway_coverage_totals,oil_production_figures,oil_consumption_figures,total_proven_oil_reserves,natural_gas_production_figures,natural_gas_consumption_figures,total_proven_natural_gas_reserves,coal_production_figures,coal_consumption_figures,total_proven_coal_reserves,square_land_area,coastline_distances,total_shared_borders_by_countries,total_waterway_coverage_by_countries,country_code,capital_city,capital_city_population,rank,pwr_index
Benin,14219908,5403565,3085720,298618,4750,0,0,3,0,0,1,0,0,0,2,0,0,150,0,0,0,7,0,0,0,0,0,0,7,0,75000000,2805000000,43170000000,698900000,6,5295000,1,7,438,16000,0,45000,8000000,0.0,19057000.0,1133000000.0,0.0,78000,0.0,112622,121,2123,150,BEN,Porto-Novo,"285,000",141,3.8912
Bhutan,876181,201522,120913,4381,7500,0,0,2,0,0,0,0,0,0,2,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,25000000,3000000000,8481000000,1056000000,2,361000,0,0,0,12205,0,4500,0,0.0,0.0,0.0,174000.0,211000,0.0,38394,0,1136,0,BTN,Thimphu,"205,000",145,6.3704
Bolivia,12186079,5361875,4070150,231536,40000,40000,0,63,0,0,15,19,0,0,32,0,54,452,0,55,0,173,0,0,0,0,0,0,57,0,2700000000,13000000000,97266000000,4730000000,855,6322000,5,46,3690,90568,66000,90000,241000000,15328422000.0,2918829000.0,302990000000.0,0.0,0,1000000.0,1098581,0,7252,10000,BOL,La Paz,"1,908,000",82,1.4851
Bosnia and Herzegovina,3807764,2360814,1960998,49501,12770,6000,0,24,0,0,0,0,0,0,24,0,91,450,10,580,79,0,0,0,0,0,0,0,0,0,5847324600,11000000000,51244000000,9475000000,24,1169000,5,0,965,22926,0,35000,0,0.0,218266.0,0.0,6966000.0,7752000,2264000000.0,51197,20,1543,990,BIH,Sarajevo,"344,000",116,2.3996
Botswana,2417596,1015390,609234,24176,21000,0,0,46,11,0,10,9,0,0,16,0,20,587,12,36,20,0,0,0,0,0,0,0,0,0,1642009600,2200000000,38415000000,4802000000,74,1050000,0,0,888,31747,0,22000,0,0.0,0.0,0.0,1876000.0,1416000,1660000000.0,581730,0,4347,0,BWA,Gaborone,"272,000",126,2.8353
Brazil,218689757,111531776,88131972,3499036,360000,340000,200000,628,46,72,111,206,24,2,195,0,469,44044,172,460,78,134,0,1,4,0,6,2,23,5,24752000000,700000000000,3128000000000,362210000000,4093,99470000,17,877,29850,2000000,3630000,3145000,12715000000,25385979000.0,35253198000.0,363984000000.0,13993000.0,31841000,6596000000.0,8515770,7491,16145,50000,BRA,Brasilia,"4,804,000",12,0.1944
Bulgaria,6827736,3209036,2628678,61450,37000,3000,0,65,11,5,6,20,0,0,27,4,215,7420,48,225,24,40,0,0,0,0,4,3,2,12,1428000000,40000000000,167804000000,39188000000,68,3291000,2,80,4029,19512,4500,100000,15000000,62439000.0,2929401000.0,5663000000.0,22298000.0,23213000,2366000000.0,110880,354,1806,470,BGR,Sofia,"1,287,000",62,1.0132
Burkina Faso,22489126,8320977,5914640,359826,12000,0,4500,21,0,3,2,4,1,0,11,2,0,1112,0,12,5,0,0,0,0,0,0,0,0,0,434250000,3056000000,48175000000,49000000,23,8016000,0,0,622,15304,0,31000,0,0.0,0.0,0.0,0.0,0,0.0,274200,0,3611,0,BFA,Ouagadougou,"3,056,000",127,2.8501
Cambodia,16891245,8107798,5675458,304042,221000,0,10000,24,0,0,4,0,0,0,20,0,322,4094,25,215,497,31,0,0,0,0,0,0,20,0,700000000,12000000000,72238000000,20270000000,16,9345000,2,242,642,47263,0,65000,0,0.0,0.0,0.0,0.0,2974000,0.0,181035,443,2530,3700,KHM,Phnom Penh,"2,211,000",111,2.1725
Cameroon,30135732,10246149,6057282,482172,40000,0,12500,35,0,0,6,6,2,0,21,0,0,850,18,52,20,65,0,0,0,0,0,0,37,0,398000000,9400000000,100648000000,3459000000,33,11810000,3,121,987,77589,65000,40000,200000000,2678486000.0,986189000.0,135071000000.0,0.0,0,0.0,475440,400,5018,0,CMR,Yaounde,"4,164,000",104,2.0599
Canada,38516736,16562196,13403824,423684,68000,27000,5500,375,65,0,28,129,26,6,143,0,74,18054,0,0,0,67,0,0,4,0,12,0,14,0,26500000000,2124887000000,1832000000000,106615000000,1467,21017000,13,689,4942,1042300,5500000,2630000,170500000000,178723494000.0,124502315000.0,2067126000000.0,48328000.0,25642000,6582000000.0,9984670,202080,8893,636,CAN,Ottawa,"1,423,000",27,0.3813
Central African Republic,5552228,2165369,1232595,99940,10000,0,1000,6,0,0,6,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,41454000,780000000,4483000000,350305000,39,2015000,2,0,0,24000,0,2000,0,0.0,0.0,0.0,0.0,0,3000000.0,622984,0,5920,2800,CAF,Bangui,"933,000",137,3.5316
Chad,18523165,6668339,3741679,370463,33250,0,5000,41,0,7,8,9,2,0,15,3,90,1568,10,15,21,0,0,0,0,0,0,0,0,0,290000000,1724000000,24490000000,150000000,59,5246000,0,0,0,40000,90000,12600,1500000000,0.0,0.0,0.0,0.0,0,0.0,1284000,0,6406,12400,TCD,N Djamena,"1,533,000",93,1.8607
Chile,18549457,8903739,7475431,296791,80000,40000,50000,289,45,0,32,86,21,5,85,0,270,9492,48,225,20,130,0,0,4,0,8,0,40,0,2222000000,195000000000,496085000000,51252000000,481,8684000,11,239,7282,77801,12000,362000,150000000,1109962000.0,6558312000.0,97976000000.0,542000.0,10573000,1181000000.0,756102,6435,7801,12290,CHL,Santiago,"6,857,000",52,0.8128
China,1413142846,763097137,626022281,19784000,2035000,510000,625000,3304,1207,371,289,402,112,10,913,281,5000,174300,3850,1434,3180,730,2,3,61,49,42,72,150,36,227000000000,2027950000000,24861000000000,3428000000000,507,791383000,22,7362,150000,5200000,4715000,14010000,26022600000,179317495000.0,306576649000.0,6654250000000.0,4314681000.0,4506387000,141595000000.0,9596960,14500,22457,27700,CHN,Beijing,"21,333,000",3,0.0706
Colombia,49336454,24174862,19093208,838720,293200,35000,150000,434,17,24,84,70,27,1,258,0,0,2724,6,110,0,237,0,0,4,0,9,2,219,0,14012180000,135644000000,754645000000,58019000000,836,26137000,8,148,2141,205379,765500,355000,2036000000,11305086000.0,11708232000.0,87782000000.0,51395000.0,8547000,4554000000.0,1138910,3208,6672,24725,COL,Bogota,"11,344,000",44,0.7347
Croatia,4169239,2042927,1571803,54200,14325,20100,2000,81,11,0,0,26,0,0,52,0,75,3076,18,163,105,32,0,0,0,0,0,0,10,1,1186437722,50000000000,123348000000,28309000000,69,1742000,6,376,2617,26958,12500,72000,72000000,851005000.0,3009113000.0,24919000000.0,0.0,643000,0.0,56594,5835,2237,4714,HRV,Zagreb,"684,000",66,1.1333
Cuba,10985974,5932426,4745941,142818,45500,40000,1145000,81,38,0,3,26,0,0,14,4,225,4826,60,260,15,24,0,0,1,0,2,1,6,8,2533000000,30060000000,137000000000,10000000000,133,5135000,8,64,8367,60000,40000,165000,125000000,976023000.0,976023000.0,70792000000.0,0.0,4000,0.0,110860,3735,29,240,CUB,Havana,"2,146,000",68,1.1869
Czechia,10706242,5031934,4079078,96356,28000,4200,0,88,12,16,10,15,2,0,33,3,65,6757,53,0,0,0,0,0,0,0,0,0,0,0,6520000000,192000000000,428016000000,173618000000,128,5266000,3,0,9548,55744,6500,220000,15000000,189185000.0,8815133000.0,3964000000.0,33806000.0,37212000,2927000000.0,78867,0,2046,664,CZE,Prague,"1,318,000",46,0.7706
Democratic Republic of the Congo,111859928,38032376,30425900,2460918,166580,31000,10000,46,1,6,6,1,0,0,32,8,210,458,15,120,50,16,0,0,0,0,0,0,16,0,300000000,4605000000,102956000000,3467000000,198,33382000,11,23,4007,152373,22000,20000,180000000,368000.0,368000.0,991000000.0,0.0,10000,88000000.0,2344858,37,10481,15000,COD,Kinshasa,"15,628,000",73,1.2491
Denmark,5946984,2616673,2117126,77311,20000,12000,51000,119,33,4,4,41,3,0,34,0,44,4056,19,0,0,91,0,0,0,0,9,0,45,0,6350932500,505000000000,352436000000,82236000000,80,3051000,8,731,2682,74558,70000,165500,440000000,1314636000.0,2188096000.0,29534000000.0,0.0,1249000,0.0,43094,7314,140,400,DNK,Copenhagen,"1,370,000",48,0.7743
Dominican Republic,10790744,4963742,4024948,97117,50000,0,30000,69,0,8,10,10,1,0,48,0,10,540,0,25,0,34,0,0,0,0,0,0,14,0,550000000,25000000000,207082000000,13125000000,36,5027000,5,38,496,19705,0,150000,0,0.0,1602759000.0,0.0,0.0,1791000,0.0,48320,1288,376,0,DOM,Santo Domingo,"3,458,000",123,2.7431
Ecuador,17483326,8042330,6433864,314700,41250,118000,1500,110,0,0,22,34,8,0,52,0,55,5662,15,140,35,27,0,0,2,0,2,6,5,0,3204135840,50667000000,189880000000,7912000000,432,8528000,5,147,965,43950,480000,260000,8275000000,342407000.0,342407000.0,10902000000.0,0.0,10000,24000000.0,283560,2237,2237,1500,ECU,Quito,"1,928,000",72,1.2388
Egypt,109546720,44914155,37684072,1643201,440000,480000,300000,1080,238,88,59,346,11,0,338,100,5340,77596,1489,1557,1119,140,0,2,8,0,13,7,42,23,9400000000,110000000000,1264000000000,39824000000,83,30179000,11,436,5085,65050,661000,810200,3300000000,64292955000.0,58176781000.0,1783958000000.0,262000.0,2310000,16000000.0,1001450,2450,2612,3500,EGY,Cairo,"21,750,000",15,0.2283
El Salvador,6602370,3169138,2502298,145252,25000,10000,15000,49,0,13,3,5,0,0,29,0,0,1850,0,70,0,15,0,0,0,0,0,0,10,0,422400000,17240000000,57371000000,3426000000,68,2658000,2,4,13,9012,0,60000,0,0.0,0.0,0.0,0.0,1000,0.0,21041,307,590,422,SLV,San Salvador,"1,111,000",125,2.8204
Eritrea,6274796,2196179,1581249,75298,120000,130000,0,20,1,0,5,1,0,0,13,6,1756,3512,54,156,219,23,0,0,0,0,0,0,18,0,100000000,800000000,9702000000,208347200,13,1675000,2,9,306,16000,0,5500,0,0.0,0.0,0.0,0.0,0,0.0,117600,2234,1840,0,ERI,Asmara,"1,035,000",117,2.4152
Estonia,1202762,589353,459455,13230,7700,78800,10000,7,0,0,2,5,0,0,3,0,0,1409,24,0,6,10,0,0,0,0,0,0,6,4,1436346800,24000000000,51531000000,2371000000,18,704700,6,70,1441,58412,22000,30000,0,0.0,417106000.0,0.0,0.0,3000,0.0,45228,3794,657,335,EST,Tallinn,"452,000",87,1.7237
Ethiopia,116462712,55902102,34705888,2678642,162000,0,0,91,23,0,10,27,0,0,31,6,680,10028,65,648,79,0,0,0,0,0,0,0,0,0,888099450,30000000000,278945000000,3046000000,57,56664000,2,12,659,120171,0,110000,400000,0.0,0.0,24919000000.0,0.0,689000,0.0,1104300,0,5925,0,ETH,Addis Ababa,"5,228,000",49,0.7938
Finland,5614571,2301974,1908954,56145,24000,870000,53800,164,55,0,11,77,1,0,27,0,200,11716,125,667,76,246,0,0,0,0,0,0,8,18,6672657000,600000000000,275545000000,16744000000,148,2820000,6,278,5918,454000,8500,210000,0,0.0,2392826000.0,0.0,762000.0,3552000,0.0,338145,1250,2563,8000,FIN,Helsinki,"1,328,000",50,0.7967
France,68521974,30149669,23845647,753742,200000,26000,150000,972,224,0,118,140,44,17,447,69,222,85023,96,0,9,128,1,3,9,10,11,0,15,17,49730000000,6356459000000,3048000000000,224280000000,464,31132000,17,549,27860,1053215,82000,1700000,62000000,16226000.0,38192256000.0,7787000000.0,2312000.0,10712000,0.0,643801,4853,4072,8501,FRA,Paris,"11,142,000",11,0.1878
Gabon,2397368,911000,520229,45550,4800,0,2500,24,6,0,3,0,0,0,15,0,0,848,0,4,28,5,0,0,0,0,0,0,4,0,280620000,6500000000,32340000000,1176800000,44,718400,5,71,649,14300,175000,15000,2000000000,319102000.0,319102000.0,25995000000.0,0.0,0,0.0,267667,885,3261,1600,GAB,Libreville,"857,000",132,2.9517
Georgia,4936390,2764378,2241121,93791,55000,152500,0,52,0,0,2,8,0,0,42,11,235,5256,94,173,82,19,0,0,0,0,0,0,31,4,511258107,20000000000,57434000000,4271000000,22,1724000,2,24,1363,20295,300,35000,35000000,6088000.0,2539649000.0,8495000000.0,99000.0,362000,201000000.0,69700,310,1814,0,GEO,Tblisi,"1,080,000",84,1.6969
Germany,84220184,38741285,30993028,842202,181600,34000,0,618,133,76,46,39,37,0,318,55,295,79317,134,0,33,64,0,0,6,0,12,5,0,12,55941410000,5671463000000,4424000000000,295736000000,539,43968000,13,592,39379,830000,135000,2350000,115200000,5128909000.0,87546767000.0,23390000000.0,114860000.0,145379000,35900000000.0,357022,2389,3694,7300,DEU,Berlin,"3,571,000",19,0.2847
Ghana,33846114,14553829,9747681,609230,15500,0,0,20,0,0,2,5,2,0,11,0,0,1656,0,6,15,27,0,0,0,0,0,0,27,0,300000000,20500000000,178455000000,9917000000,10,14095000,2,52,947,65725,186000,100000,660000000,1598653000.0,2224568000.0,22653000000.0,0.0,48000,0.0,238533,539,2420,1293,GHA,Accra,"2,605,000",113,2.2358
Greece,10497595,4933870,3999584,104976,142700,221350,55000,632,194,0,14,145,8,0,289,29,1365,57030,589,729,152,187,0,0,11,0,13,0,35,8,5974000000,500000000000,314427000000,14447000000,77,4619000,7,1234,2345,117000,5000,310000,10000000,5748000.0,5831987000.0,991000000.0,13851000.0,13828000,2876000000.0,131957,13676,1110,6,GRC,Athens,"3,154,000",32,0.4349
Guatemala,17980803,7372129,6185396,179808,106114,90000,35000,34,0,4,9,0,0,0,21,0,10,848,0,50,0,25,0,0,0,0,0,0,20,0,395000000,25000000000,152734000000,20935000000,291,6671000,2,9,800,17440,10500,115000,86100000,0.0,0.0,0.0,0.0,2280000,0.0,108889,400,1667,990,GTM,Guatemala City,"3,036,000",108,2.1301
Honduras,9571352,4211395,3158546,95714,52225,60000,23000,44,4,9,12,10,1,0,8,0,22,614,0,32,0,71,0,0,0,0,0,0,66,0,400000000,10000000000,57273000000,6423000000,103,4314000,4,505,699,14742,0,70000,0,0.0,0.0,0.0,0.0,25000,0.0,112090,832,1575,465,HND,Tegucigalpa,"1,527,000",95,1.9629
Hungary,9670009,4544904,3722953,116040,41600,20000,15000,62,12,0,2,12,0,0,38,8,208,7797,23,295,0,0,0,0,0,0,0,0,0,0,4293000000,125000000000,326186000000,43483000000,41,4910000,5,1,7687,203601,35000,180600,12100000,1685020000.0,10545459000.0,3738000000.0,6956000.0,8079000,2909000000.0,103000,0,2106,1622,HUN,Budapest,"1,775,000",54,0.8478
Iceland,360872,83001,49800,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000000,19962000000,7079000000,96,200300,3,40,0,12898,0,20000,0,0.0,0.0,0.0,0.0,142000,0.0,100250,4970,0,0,ISL,Reykjavik,"216,000",136,3.5038
India,1399179585,657614405,519095626,23786053,1455550,1155000,2527000,2296,606,130,264,351,70,6,869,40,4614,151248,140,3243,702,294,2,0,18,12,12,18,137,0,74000000000,555388000000,9279000000000,638485000000,346,476670000,13,1801,65554,6371847,772000,5000000,4605000000,27734833000.0,61646806000.0,1380614000000.0,743214000.0,883979000,105931000000.0,3287263,7000,13888,14500,IND,New Delhi,"32,066,000",4,0.1023
Indonesia,279476346,136943410,113746873,4751098,400000,400000,250000,474,41,37,68,130,17,1,210,15,313,11604,153,414,63,333,0,0,4,0,8,25,205,13,25000000000,400000000000,3246000000000,144908000000,673,138119000,16,11015,8159,496607,845000,1650000,2500000000,62612013000.0,38673953000.0,1408478000000.0,563728000.0,132548000,39891000000.0,1904569,54716,2958,21579,IDN,Jakarta,"11,075,000",13,0.2251
Iran,87590873,49050889,41167710,1401454,610000,350000,220000,551,186,23,86,102,10,7,129,13,1996,65765,580,2050,775,101,0,0,19,0,7,3,21,1,9954451000,8000000000,1319000000000,127150000000,319,27682000,4,942,8484,223485,3450000,1935000,210000000000,237561415000.0,220704282000.0,33987296000000.0,2783000.0,2794000,1203000000.0,1648195,2440,5894,850,IRN,Tehran,"9,382,000",14,0.2269
Iraq,41266109,17331766,14030477,701524,193000,0,100000,371,26,35,20,113,17,0,197,40,848,39872,281,1446,425,68,0,0,0,0,0,2,26,0,5252000000,75000000000,390165000000,64231000000,102,11184000,3,75,2272,59623,4162000,865000,145020000000,10710773000.0,18014129000.0,3728926000000.0,0.0,0,0.0,438317,58,3809,5279,IRQ,Baghdad,"7,512,000",45,0.7441
Ireland,5323991,2449036,2033765,58564,7765,1700,0,25,0,0,4,8,5,0,8,0,0,1064,0,0,0,6,0,0,0,0,0,0,5,0,837081375,3000000000000,515880000000,13247000000,40,2518000,7,96,1688,99830,600,160000,0,2652180000.0,5491562000.0,9911000000.0,0.0,351000,14000000.0,70273,1448,443,956,IRL,Dublin,"1,256,000",94,1.8779
Israel,9043387,3798223,3156142,126607,170000,465000,35000,612,241,39,12,155,23,14,146,48,1370,43407,650,300,150,67,0,0,5,0,0,7,45,0,24400000000,135000000000,393861000000,212934000000,42,4186000,5,45,1497,20391,0,235000,12700000,10474299000.0,9442435000.0,176017000000.0,0.0,5089000,0.0,21937,273,1068,0,ISR,Jerusalem,"970,000",17,0.2596
Italy,61021855,27459835,22211955,549197,165500,18500,105000,800,90,67,29,163,28,8,402,57,200,61892,64,108,21,309,2,0,8,4,13,0,18,10,31600000000,2500000000000,2478000000000,227478000000,129,25012000,14,1266,18475,487700,110000,1255100,500000000,3888491000.0,74313109000.0,45760000000.0,1456000.0,9335000,17000000.0,301340,7600,1836,2400,ITA,Rome,"4,298,000",10,0.1863
Ivory Coast,29344847,12031387,7688350,557552,22000,0,5500,9,0,0,4,2,1,0,2,1,10,476,0,4,6,7,0,0,0,0,0,0,6,0,657201867,15000000000,146323000000,5350000000,27,8876000,3,25,660,81996,35000,60000,100000000,2424768000.0,2424768000.0,28317000000.0,0.0,0,0.0,322463,515,3458,980,CIV,Yamoussoukro,"231,000",98,1.9869
Japan,123719238,53199272,43054295,1113473,247150,56000,25000,1459,217,36,56,420,145,8,577,119,518,37662,173,480,54,155,0,4,23,36,4,6,6,22,53000000000,4254271000000,5126000000000,1406000000000,175,68629000,44,5590,27311,1218772,10200,3740000,44100000,1928431000.0,102108738000.0,20898000000.0,29840000.0,210882000,350000000.0,377915,29751,0,1770,JPN,Tokyo,"37,274,000",7,0.1601
Jordan,11086716,3436882,2960153,144127,100500,65000,35000,265,44,6,12,61,11,0,148,43,1365,24148,199,84,88,27,0,0,0,0,0,0,27,0,2020000000,35000000000,102822000000,15560000000,18,2865000,1,35,509,7203,0,115000,1000000,115872000.0,4650978000.0,6031000000.0,0.0,219000,0.0,89342,26,1744,0,JOR,Amman,"2,210,000",80,1.4651
Kazakhstan,19543464,8794559,6683865,273608,110000,135000,55000,243,81,38,21,28,0,0,75,22,300,6012,246,450,407,18,0,0,0,0,0,0,15,2,7500000000,160000000000,496126000000,34378000000,96,9248000,5,120,16636,96167,1865000,320500,30000000000,25785505000.0,14557101000.0,2406928000000.0,102338000.0,74819000,25605000000.0,2724900,26,13364,43983,KAZ,Nur-Sultan,"1,254,000",58,0.9495
Kenya,57052004,21109241,13749533,912832,50000,0,25000,158,17,0,21,31,2,0,87,2,188,4856,18,53,0,19,0,0,0,0,0,0,7,0,2200000000,30000000000,251431000000,9491000000,197,23915000,2,25,3819,161452,0,116500,0,0.0,0.0,0.0,0.0,821000,0.0,580367,536,3457,0,KEN,Nairobi,"5,119,000",89,1.7629
Kosovo,1965327,911912,738963,17688,10000,5000,500,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,399686950,2500000000,21226000000,1244000000,6,500300,0,0,437,2012,13000,13000,0,0.0,0.0,0.0,8538000.0,8549000,1564000000.0,10887,0,714,0,XKX,Pristina,"216,870",135,3.4115
Kuwait,3103580,1706969,1433854,37243,72000,24000,7500,114,36,0,2,13,0,3,60,16,367,4409,74,0,27,123,0,0,0,0,0,0,106,0,9500000000,50000000000,191522000000,49525000000,7,2363000,5,166,0,5749,2720500,345000,101500000000,19509907000.0,24322970000.0,1783958000000.0,0.0,68000,0.0,17818,499,475,0,KWT,Kuwait,"3,239,000",77,1.4261
