RANK,COUNTRY,REGION,POWER INDEX,POPULATION,FIT FOR SERVICE,ACTIVE SERVICE,DEFENSE BUDGET,AIRCRAFT FLEET STRENGTH,TANK STRENGTH,NAVAL FLEET STRENGTH,LABOR FORCE,MERCHANT MARINE FLEET STRENGTH
30,Greece,EUROPE,0.4621," 10,533,871 "," 4,013,405 "," 130,000 "," 6,600,000,000 ", 635 ," 1,365 ", 120 ," 4,000,000 "," 1,236 "
31,Mexico,NORTH AMERICA,0.4687," 129,150,971 "," 49,206,520 "," 250,000 "," 6,456,000,000 ", 468 , -   , 194 ," 51,000,000 ", 671 
32,Philippines,ASIA,0.4811," 114,597,229 "," 40,452,822 "," 101,000 "," 4,280,000,000 ", 188 , -   , 93 ," 41,533,000 "," 1,805 "
33,South Africa,AFRICA,0.4885," 57,516,665 "," 14,264,133 "," 40,200 "," 2,814,016,919 ", 226 , 195 , 47 ," 14,687,000 ", 105 
34,North Korea,ASIA,0.5118," 25,955,138 "," 5,242,938 "," 1,200,000 "," 4,500,000,000 ", 947 ," 6,645 ", 519 ," 14,000,000 ", 264 
35,Norway,EUROPE,0.5289," 5,553,840 "," 1,821,660 "," 23,000 "," 7,200,000,000 ", 100 , 52 , 48 ," 2,699,000 "," 1,644 "
36,Nigeria,AFRICA,0.5587," 225,082,083 "," 85,981,356 "," 135,000 "," 3,484,633,740 ", 144 , 177 , 136 ," 60,100,000 ", 791 
37,Sweden,EUROPE,0.5679," 10,483,647 "," 3,522,505 "," 16,000 "," 6,384,089,200 ", 205 , 121 , 367 ," 5,030,000 ", 370 
38,Myanmar,ASIA,0.5768," 57,526,449 "," 21,975,104 "," 400,000 "," 2,285,700,000 ", 280 , 715 , 210 ," 22,300,000 ", 95 
39,Netherlands,EUROPE,0.5801," 17,400,824 "," 6,351,301 "," 35,000 "," 15,751,000,000 ", 136 , 18 , 61 ," 9,000,000 "," 1,199 "
40,Bangladesh,ASIA,0.5871," 165,650,475 "," 64,934,986 "," 165,000 "," 3,890,400,000 ", 204 , 281 , 112 ," 66,640,000 ", 468 
41,Portugal,EUROPE,0.6116," 10,352,042 "," 3,985,536 "," 27,000 "," 4,908,900,000 ", 104 , 37 , 111 ," 4,900,000 ", 820 
42,Malaysia,ASIA,0.6189," 33,871,431 "," 13,209,858 "," 85,000 "," 2,593,874,880 ", 147 , 48 , 82 ," 15,139,000 "," 1,769 "
43,Colombia,SOUTH AMERICA,0.7011," 49,059,221 "," 18,985,919 "," 360,000 "," 8,139,000,000 ", 465 , -   , 265 ," 20,000,000 ", 122 
44,Switzerland,EUROPE,0.7191," 8,508,698 "," 3,037,605 "," 24,000 "," 5,984,000,000 ", 148 , 380 , -   ," 5,067,000 ", 20 
45,Iraq,ASIA,0.7365," 40,462,701 "," 13,757,318 "," 200,000 "," 5,701,100,000 ", 361 , 923 , 63 ," 9,000,000 ", 68 
46,Chile,SOUTH AMERICA,0.7712," 18,430,408 "," 7,427,454 "," 80,000 "," 5,058,000,000 ", 289 , 270 , 112 ," 7,249,000 ", 231 
47,Romania,EUROPE,0.7735," 18,519,899 "," 7,889,477 "," 67,000 "," 5,148,090,000 ", 146 , 413 , 45 ," 4,900,000 ", 121 
48,Czechia,EUROPE,0.7849," 10,705,384 "," 4,078,751 "," 26,000 "," 3,262,900,000 ", 97 , 50 , -   ," 5,222,000 ", -   
49,Ethiopia,AFRICA,0.7979," 113,656,596 "," 33,869,666 "," 150,000 "," 538,000,000 ", 89 , 468 , -   ," 53,000,000 ", 11 
50,Denmark,EUROPE,0.8011," 5,920,767 "," 2,107,793 "," 16,000 "," 4,200,000,000 ", 115 , 44 , 74 ," 2,736,000 ", 717 
51,Finland,EUROPE,0.8099," 5,601,547 "," 1,904,526 "," 24,000 "," 6,383,925,000 ", 166 , 239 , 246 ," 2,520,000 ", 272 
52,Venezuela,SOUTH AMERICA,0.8228," 29,789,730 "," 12,213,789 "," 137,500 "," 1,929,600,000 ", 250 , 352 , 46 ," 14,210,000 ", 281 
53,Peru,SOUTH AMERICA,0.8466," 32,275,736 "," 12,555,261 "," 95,000 "," 1,850,000,000 ", 246 , 261 , 63 ," 3,421,000 ", 98 
54,Hungary,EUROPE,0.8643," 9,699,577 "," 3,734,337 "," 23,000 "," 4,500,000,000 ", 57 , 176 , -   ," 4,414,000 ", 1 
55,Angola,AFRICA,0.8732," 34,795,287 "," 3,479,529 "," 107,000 "," 1,059,270,000 ", 302 , 156 , 40 ," 12,510,000 ", 54 
56,United Arab Emirates,ASIA,0.8978," 9,915,803 "," 4,888,491 "," 65,000 "," 25,266,000,000 ", 565 , 274 , 79 ," 5,344,000 ", 623 
57,Azerbaijan,ASIA,0.9391," 10,353,296 "," 3,799,660 "," 65,000 "," 3,100,000,000 ", 148 , 920 , 24 ," 5,000,000 ", 305 
58,Serbia,EUROPE,0.9571," 6,739,471 "," 2,608,175 "," 25,000 "," 1,059,200,000 ", 117 , 242 , 16 ," 3,000,000 ", -   
59,Bulgaria,EUROPE,0.9757," 6,873,253 "," 2,646,202 "," 25,000 "," 1,105,760,000 ", 66 , 410 , 29 ," 3,113,000 ", 79 
60,Belarus,EUROPE,1.0485," 9,413,505 "," 3,690,094 "," 45,000 "," 723,120,000 ", 191 , 862 , -   ," 4,381,000 ", 4 
61,Morocco,AFRICA,1.0524," 36,738,229 "," 14,989,197 "," 200,000 "," 1,039,108,400 ", 250 ," 1,761 ", 121 ," 10,400,000 ", 93 
62,Uzbekistan,ASIA,1.0692," 31,104,937 "," 13,592,857 "," 55,000 "," 692,520,000 ", 197 , 420 , -   ," 13,273,000 ", -   
63,Kazakhstan,ASIA,1.0873," 19,398,331 "," 6,634,229 "," 45,000 "," 2,618,000,000 ", 237 , 300 , 15 ," 8,685,000 ", 119 
64,Syria,ASIA,1.1095," 21,563,800 "," 11,967,909 "," 100,000 "," 2,020,500,000 ", 453 ," 2,616 ", 43 ," 3,767,000 ", 28 
65,Qatar,ASIA,1.1296," 2,508,182 "," 481,571 "," 66,550 "," 5,856,000,000 ", 198 , 138 , 86 ," 1,953,000 ", 129 
66,Cuba,NORTH AMERICA,1.1523," 11,008,112 "," 4,755,504 "," 50,000 "," 2,989,900,000 ", 80 ," 1,230 ", 19 ," 5,000,000 ", 59 
67,Slovakia,EUROPE,1.1789," 5,431,252 "," 2,297,420 "," 13,000 "," 2,092,000,000 ", 48 , 30 , -   ," 2,511,000 ", -   
68,Belgium,EUROPE,1.1836," 11,847,338 "," 3,838,538 "," 26,000 "," 5,513,710,000 ", 106 , -   , 17 ," 4,122,000 ", 201 
69,Croatia,EUROPE,1.2141," 4,188,853 "," 1,579,198 "," 15,000 "," 1,047,933,180 ", 80 , 75 , 34 ," 1,656,000 ", 354 
70,Ecuador,SOUTH AMERICA,1.2181," 17,289,554 "," 6,362,556 "," 70,000 "," 2,272,630,000 ", 118 , 110 , 30 ," 8,086,000 ", 145 
71,Sri Lanka,ASIA,1.2478," 23,187,516 "," 9,019,944 "," 250,000 "," 1,110,000,000 ", 86 , 182 , 275 ," 8,000,000 ", 90 
72,DR of the Congo,AFRICA,1.3055," 108,407,721 "," 29,486,900 "," 140,000 "," 299,220,000 ", 46 , 214 , 16 ," 20,692,000 ", 22 
73,Tunisia,AFRICA,1.3243," 11,896,970 "," 5,115,697 "," 90,000 "," 1,177,200,000 ", 152 , 145 , 40 ," 4,054,000 ", 71 
74,Yemen,ASIA,1.3985," 30,984,689 "," 8,706,698 "," 45,000 "," 1,010,070,000 ", 177 , 100 , 35 ," 7,500,000 ", 34 
75,Sudan,AFRICA,1.4079," 47,958,856 "," 16,258,052 "," 100,000 "," 287,210,000 ", 191 , 170 , 18 ," 11,920,000 ", 15 
76,Oman,ASIA,1.4081," 3,764,348 "," 1,245,999 "," 40,000 "," 8,396,300,000 ", 128 , 121 , 22 ," 2,255,000 ", 57 
77,Bolivia,SOUTH AMERICA,1.4339," 12,054,379 "," 4,026,163 "," 60,000 "," 476,970,000 ", 64 , 36 , 170 ," 6,000,000 ", 45 
78,Kuwait,ASIA,1.4441," 3,068,155 "," 1,417,488 "," 17,000 "," 8,172,000,000 ", 114 , 367 , 123 ," 2,700,000 ", 165 
79,Bahrain,ASIA,1.4511," 1,540,588 "," 708,657 "," 20,000 "," 1,538,800,000 ", 116 , 180 , 48 ," 831,600 ", 205 
80,Libya,AFRICA,1.4718," 7,137,931 "," 3,190,655 "," 100,000 "," 3,570,000,000 ", 127 , 325 , 7 ," 1,114,000 ", 94 
81,Jordan,ASIA,1.5098," 10,998,531 "," 2,936,608 "," 90,000 "," 1,900,000,000 ", 256 ," 1,588 ", 27 ," 731,000 ", 35 
82,Turkmenistan,ASIA,1.5986," 5,636,011 "," 2,203,680 "," 30,000 "," 407,070,000 ", 86 , 680 , 30 ," 2,305,000 ", 73 
83,Uganda,AFRICA,1.6264," 46,205,893 "," 9,287,384 "," 47,000 "," 934,250,000 ", 50 , 180 , 8 ," 16,000,000 ", -   
84,Austria,EUROPE,1.6543," 8,913,088 "," 3,609,801 "," 23,000 "," 3,432,000,000 ", 101 , 56 , -   ," 4,000,000 ", -   
85,Georgia,ASIA,1.7181," 4,935,518 "," 2,240,725 "," 61,200 "," 286,020,000 ", 66 , 243 , 44 ," 700,000 ", 25 
86,Slovenia,EUROPE,1.7261," 2,101,208 "," 827,876 "," 7,000 "," 581,680,000 ", 37 , 48 , 2 ," 885,000 ", 9 
87,Kenya,AFRICA,1.7701," 55,864,655 "," 13,463,382 "," 35,000 "," 1,186,080,000 ", 156 , 111 , 23 ," 19,600,000 ", 26 
88,Paraguay,SOUTH AMERICA,1.7863," 7,356,409 "," 2,935,207 "," 20,000 "," 353,000,000 ", 39 , 10 , 40 ," 3,428,000 ", 110 
89,Zambia,AFRICA,1.7896," 19,642,123 "," 3,908,782 "," 16,500 "," 251,160,000 ", 98 , 75 , -   ," 7,000,000 ", 2 
90,Ireland,EUROPE,1.8161," 5,275,004 "," 2,015,052 "," 8,700 "," 1,255,815,000 ", 23 , -   , 9 ," 2,300,000 ", 96 
91,Albania,EUROPE,1.8466," 3,095,344 "," 1,287,663 "," 8,000 "," 192,400,000 ", 19 , 40 , 19 ," 1,104,000 ", 70 
92,Honduras,NORTH AMERICA,1.8851," 9,459,440 "," 3,121,615 "," 16,000 "," 405,110,000 ", 43 , 22 , 55 ," 3,735,000 ", 505 
93,Lithuania,EUROPE,1.9026," 2,683,546 "," 1,360,558 "," 16,000 "," 1,145,745,000 ", 10 , -   , 11 ," 1,333,000 ", 64 
94,Armenia,ASIA,1.9137," 3,000,756 "," 1,377,347 "," 45,000 "," 632,500,000 ", 64 , 519 , -   ," 1,507,000 ", -   
95,Latvia,EUROPE,1.9161," 1,842,226 "," 663,201 "," 6,500 "," 927,465,554 ", 4 , -   , 18 ," 885,000 ", 70 
96,Uruguay,SOUTH AMERICA,1.9269," 3,407,213 "," 1,315,184 "," 22,000 "," 1,072,600,000 ", 52 , 17 , 18 ," 2,000,000 ", 61 
97,Chad,AFRICA,1.9751," 17,963,211 "," 3,628,569 "," 35,000 "," 292,610,000 ", 34 , 90 , -   ," 5,654,000 ", -   
98,Zimbabwe,AFRICA,1.9787," 15,121,004 "," 3,281,258 "," 30,000 "," 117,390,000 ", 90 , 40 , -   ," 8,000,000 ", -   
99,Mongolia,ASIA,2.0263," 3,227,863 "," 1,526,779 "," 35,000 "," 91,980,000 ", 11 , 470 , -   ," 1,241,000 ", 302 
100,Cameroon,AFRICA,2.0296," 29,321,637 "," 5,893,649 "," 40,000 "," 398,000,000 ", 31 , -   , 60 ," 10,000,000 ", 94 
101,Tanzania,AFRICA,2.0387," 63,852,892 "," 6,321,436 "," 26,000 "," 748,920,000 ", 40 , 42 , 19 ," 25,000,000 ", 314 
102,Guatemala,NORTH AMERICA,2.0419," 17,703,190 "," 6,089,897 "," 21,500 "," 388,000,000 ", 34 , 12 , 25 ," 6,664,000 ", 9 
103,New Zealand,AUSTRALIA & OCEANIA,2.0617," 5,053,004 "," 1,738,233 "," 9,600 "," 3,800,000,000 ", 45 , -   , 9 ," 2,709,000 ", 115 
104,Estonia,EUROPE,2.0686," 1,211,524 "," 462,802 "," 4,000 "," 713,690,000 ", 6 , -   , 6 ," 648,000 ", 68 
105,Ivory Coast,AFRICA,2.0881," 28,713,423 "," 7,522,917 "," 25,000 "," 510,000,000 ", 6 , 10 , 10 ," 8,747,000 ", 25 
106,Cambodia,ASIA,2.1321," 16,713,015 "," 5,615,573 "," 100,000 "," 632,250,000 ", 24 , 644 , 27 ," 9,000,000 ", 245 
107,Kyrgyzstan,ASIA,2.1703," 6,071,750 "," 2,446,915 "," 15,000 "," 116,040,000 ", 6 , 215 , -   ," 2,841,000 ", -   
108,North Macedonia,EUROPE,2.1717," 2,130,936 "," 782,054 "," 9,000 "," 192,639,000 ", 20 , 31 , -   ," 795,000 ", -   
109,Ghana,AFRICA,2.1741," 33,107,275 "," 9,534,895 "," 14,000 "," 289,400,000 ", 20 , -   , 20 ," 12,490,000 ", 51 
110,Mali,AFRICA,2.1992," 20,741,769 "," 4,044,645 "," 18,000 "," 591,260,000 ", 39 , 50 , -   ," 6,447,000 ", -   
111,Lebanon,ASIA,2.2381," 5,296,814 "," 1,753,245 "," 80,000 "," 1,001,400,000 ", 78 , 361 , 86 ," 2,166,000 ", 48 
112,Mozambique,AFRICA,2.2895," 31,693,239 "," 7,384,525 "," 12,000 "," 140,200,000 ", 19 , 186 , 8 ," 13,000,000 ", 30 
113,Eritrea,AFRICA,2.2956," 6,209,262 "," 1,564,734 "," 175,000 "," 105,315,000 ", 33 ," 1,756 ", 20 ," 2,710,000 ", 9 
114,Afghanistan,ASIA,2.3118," 38,346,720 "," 8,436,278 ", -   ," 49,525,000 ", -   , -   , -   ," 4,240,000 ", -   
115,Laos,ASIA,2.3168," 7,749,595 "," 2,456,622 "," 30,000 "," 38,280,000 ", 34 , 130 , 39 ," 3,582,000 ", 1 
116,South Sudan,AFRICA,2.5261," 11,544,905 "," 3,694,370 "," 175,000 "," 276,000,000 ", 18 , 120 , -   ," 750,000 ", -   
117,Nicaragua,NORTH AMERICA,2.5685," 6,301,880 "," 2,621,582 "," 24,000 "," 88,340,000 ", 16 , 198 , 25 ," 3,046,000 ", 5 
118,Dominican Republic,NORTH AMERICA,2.5742," 10,694,700 "," 3,989,123 "," 60,000 "," 630,720,000 ", 63 , 12 , 34 ," 4,732,000 ", 38 
119,Niger,AFRICA,2.6327," 24,484,587 "," 4,921,402 "," 10,000 "," 287,280,000 ", 16 , -   , -   ," 6,500,000 ", 1 
120,Tajikistan,ASIA,2.6403," 9,119,347 "," 3,310,323 "," 9,500 "," 90,134,000 ", 25 , 37 , -   ," 2,300,000 ", -   
121,Burkina Faso,AFRICA,2.6607," 21,935,399 "," 5,769,007 "," 12,000 "," 434,250,000 ", 20 , -   , -   ," 8,501,000 ", -   
122,Republic of the Congo,AFRICA,2.6648," 5,546,307 "," 1,231,280 "," 12,000 "," 348,160,000 ", 13 , 53 , 6 ," 2,055,000 ", 11 
123,Namibia,AFRICA,2.7081," 2,727,409 "," 390,019 "," 12,500 "," 363,800,000 ", 32 , 20 , 8 ," 960,000 ", 14 
124,Botswana,AFRICA,2.7851," 2,384,246 "," 600,830 "," 9,000 "," 473,400,000 ", 46 , 45 , -   ," 1,177,000 ", -   
125,Senegal,AFRICA,2.7961," 17,923,036 "," 3,889,299 "," 17,000 "," 345,375,000 ", 27 , -   , 4 ," 7,000,000 ", 35 
126,Luxembourg,EUROPE,2.8202," 650,364 "," 89,750 "," 1,000 "," 600,000,000 ", 1 , -   , -   ," 476,000 ", 153 
127,El Salvador,NORTH AMERICA,2.8583," 6,568,745 "," 2,489,554 "," 21,000 "," 295,680,000 ", 46 , -   , 4 ," 3,000,000 ", 2 
128,Montenegro,EUROPE,2.8704," 604,966 "," 85,905 "," 2,500 "," 74,074,500 ", 11 , -   , 13 ," 167,000 ", 17 
129,Nepal,ASIA,2.8728," 30,666,598 "," 11,561,307 "," 95,000 "," 437,580,000 ", 15 , -   , -   ," 17,000,000 ", -   
130,Madagascar,AFRICA,2.9078," 28,172,462 "," 7,606,565 "," 13,000 "," 109,760,000 ", 4 , 386 , 8 ," 13,400,000 ", 27 
131,Gabon,AFRICA,2.9235," 2,340,613 "," 507,913 "," 6,500 "," 280,620,000 ", 23 , -   , 10 ," 560,000 ", 62 
132,Mauritania,AFRICA,3.0398," 4,161,925 "," 1,136,206 "," 31,500 "," 194,475,000 ", 23 , -   , 5 ," 1,437,000 ", 5 
133,Bosnia and Herzegovina,EUROPE,3.0788," 3,816,459 "," 1,965,476 "," 9,000 "," 178,110,000 ", 22 , 124 , -   ," 806,000 ", -   
134,Kosovo,EUROPE,3.2863," 1,952,701 "," 734,216 "," 5,000 "," 128,688,750 ", -   , -   , -   ," 500,000 ", -   
135,Panama,NORTH AMERICA,3.2877," 4,337,768 "," 1,171,197 ", -   ," 741,160,000 ", 41 , -   , 20 ," 1,633,000 "," 7,980 "
136,Central African Republic,AFRICA,3.2931," 5,454,533 "," 1,210,906 "," 10,000 "," 41,454,000 ", 3 , 3 , -   ," 2,242,000 ", -   
137,Iceland,EUROPE,3.4845," 357,603 "," 49,349 ", -   , -   , -   , -   , -   ," 200,000 ", 41 
138,Sierra Leone,AFRICA,3.5241," 8,692,606 "," 1,147,424 "," 13,000 "," 19,325,000 ", 4 , 2 , 10 ," 132,000 ", 591 
139,Belize,NORTH AMERICA,3.7178," 412,387 "," 89,488 "," 2,000 "," 19,332,000 ", 2 , -   , 10 ," 130,500 ", 813 
140,Suriname,SOUTH AMERICA,4.0003," 632,638 "," 82,243 "," 1,800 "," 41,888,000 ", 3 , -   , 18 ," 144,000 ", 10 
141,Liberia,AFRICA,4.0006," 5,358,483 "," 1,886,186 "," 2,000 "," 11,800,000 ", -   , -   , 6 ," 1,677,000 "," 3,942 "
142,Somalia,AFRICA,4.0196," 12,386,248 "," 1,709,302 "," 17,500 "," 63,934,000 ", -   , -   , 3 ," 4,154,000 ", 4 
143,Moldova,EUROPE,4.0861," 3,287,326 "," 1,637,088 "," 6,000 "," 47,640,000 ", 3 , -   , -   ," 1,300,000 ", 147 
144,Benin,AFRICA,4.1269," 13,754,688 "," 2,984,767 "," 5,000 "," 75,251,700 ", 2 , -   , 2 ," 3,500,000 ", 6 
145,Bhutan,ASIA,6.2017," 867,775 "," 119,753 "," 8,000 "," 28,908,000 ", 2 , -   , -   ," 400,000 ", -   
